CLAVE_ENTIDAD,ENTIDAD,CLAVE_MUNICIPIO,MUNICIPIO,CLUES,NOMBRE_CLUES,MES,ANIO,ADL02,ADL03,ADL05,ADL06,ADL08,ADL09,ADL11,ADL12,ADL14,ADL15,ADL17,ADL18,ADM02,ADM03,ADM05,ADM06,ADM08,ADM09,ADM11,ADM12,ADM14,ADM15,ADM17,ADM18,ADM19,ADM20,ADM21,ADM22,ADM23,AEC02,AEC03,AEC05,AEC06,AEC08,AEC09,AEC11,AEC12,AEC14,AEC15,AEC17,AEC18,AHA02,AHA03,AHA05,AHA06,AHA08,AHA09,AHA11,AHA12,AHA14,AHA15,AHA17,AHA18,AOB02,AOB03,AOB05,AOB06,AOB08,AOB09,AOB11,AOB12,AOB14,AOB15,AOB17,AOB18,FRS01,FRS02,FRS03,FRS04,HBA01,HBA02,HBA03,PDM02,PDM03,PMA01,PMA02,RUN01
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,9,2023,NULL,NULL,NULL,NULL,15,5,1,3,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,26,9,3,8,10,5,1,2,3,2,NULL,NULL,2,NULL,NULL,NULL,NULL,14,5,NULL,3,4,2,NULL,NULL,NULL,NULL,NULL,NULL,16,11,2,4,11,8,1,2,NULL,NULL,NULL,NULL,13,4,1,2,4,2,NULL,NULL,4,2,NULL,NULL,9,4,2,20,1,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,10,2023,NULL,NULL,NULL,NULL,14,5,NULL,3,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,23,9,2,6,11,4,1,2,6,5,NULL,NULL,4,NULL,NULL,NULL,NULL,13,5,NULL,3,4,1,NULL,NULL,NULL,NULL,1,NULL,15,11,2,4,10,8,1,2,NULL,NULL,NULL,NULL,12,4,1,2,4,2,NULL,NULL,NULL,1,1,NULL,2,1,NULL,3,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,11,2023,NULL,NULL,NULL,NULL,14,4,NULL,3,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,22,8,1,4,11,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,5,NULL,2,4,1,NULL,NULL,NULL,NULL,NULL,NULL,14,11,2,2,9,8,1,1,NULL,NULL,NULL,NULL,12,4,1,1,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,12,2023,NULL,NULL,NULL,NULL,7,3,NULL,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,14,8,2,2,7,1,NULL,1,4,3,1,NULL,NULL,NULL,NULL,NULL,NULL,8,4,NULL,NULL,2,NULL,NULL,NULL,1,NULL,NULL,NULL,9,9,2,1,6,7,1,NULL,NULL,NULL,NULL,NULL,8,3,1,NULL,2,1,NULL,NULL,1,1,NULL,NULL,3,2,NULL,7,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,1,2023,NULL,NULL,NULL,NULL,15,7,2,4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,17,4,2,2,8,2,NULL,1,3,1,NULL,NULL,1,NULL,NULL,NULL,NULL,15,5,2,2,4,5,NULL,1,NULL,1,NULL,NULL,13,8,3,5,7,7,2,4,NULL,NULL,NULL,NULL,18,4,2,2,8,3,1,1,2,2,NULL,1,1,1,1,13,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,2,2023,NULL,NULL,NULL,NULL,14,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,4,3,2,7,1,NULL,1,2,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,14,2,3,2,4,1,NULL,1,NULL,NULL,NULL,NULL,12,4,4,5,7,3,2,4,NULL,NULL,NULL,NULL,18,1,3,2,7,1,2,1,NULL,1,NULL,NULL,1,1,NULL,6,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,3,2023,NULL,NULL,NULL,NULL,16,3,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,4,5,3,8,2,NULL,1,1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,15,2,5,3,4,1,NULL,1,NULL,NULL,NULL,NULL,13,5,6,6,10,4,3,5,NULL,NULL,NULL,NULL,19,2,5,2,7,2,2,1,2,1,NULL,2,NULL,NULL,NULL,8,1,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,4,2023,1,NULL,NULL,NULL,15,3,3,3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,17,4,4,1,7,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,2,4,1,3,NULL,1,NULL,NULL,NULL,NULL,NULL,12,4,4,4,8,4,1,4,NULL,NULL,NULL,NULL,15,3,4,NULL,6,2,1,NULL,2,1,NULL,1,NULL,NULL,NULL,5,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,5,2023,NULL,NULL,NULL,NULL,12,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,3,2,3,5,1,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,2,2,3,3,NULL,1,1,NULL,NULL,NULL,NULL,9,4,2,5,6,4,1,4,NULL,NULL,NULL,NULL,11,2,2,2,2,2,NULL,1,NULL,1,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,6,2023,NULL,NULL,NULL,NULL,12,2,2,5,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,12,3,3,3,5,1,2,1,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,9,2,3,3,3,NULL,1,1,1,NULL,NULL,NULL,5,5,3,5,4,5,1,4,1,NULL,NULL,NULL,9,3,3,2,1,2,NULL,1,1,NULL,NULL,NULL,2,1,1,3,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,7,2023,NULL,NULL,NULL,NULL,11,3,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,9,3,2,4,4,NULL,NULL,1,1,NULL,2,NULL,1,NULL,NULL,NULL,NULL,8,3,1,2,1,1,NULL,1,NULL,NULL,1,1,4,8,2,7,3,7,1,5,NULL,NULL,NULL,NULL,9,5,1,1,NULL,4,NULL,1,NULL,NULL,NULL,2,2,1,NULL,6,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,8,2023,NULL,NULL,NULL,NULL,10,5,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,4,3,3,4,NULL,NULL,NULL,1,NULL,1,1,1,NULL,NULL,NULL,NULL,7,5,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,3,9,2,6,2,9,1,4,NULL,NULL,NULL,NULL,8,7,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,2,1,1,NULL,1,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,9,2023,NULL,NULL,NULL,NULL,7,5,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,3,3,4,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,6,4,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3,8,2,6,2,7,1,4,NULL,NULL,NULL,NULL,7,7,1,NULL,NULL,6,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,10,2023,NULL,NULL,NULL,NULL,3,5,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,2,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7,1,5,1,6,NULL,4,NULL,NULL,NULL,NULL,3,7,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,11,2023,NULL,NULL,NULL,NULL,2,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,1,2,1,4,NULL,1,NULL,NULL,NULL,NULL,2,5,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000051,U-01 COL. JARDIN PALMAS I,12,2023,NULL,NULL,NULL,NULL,5,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,1,3,1,4,NULL,1,NULL,NULL,NULL,NULL,4,4,1,NULL,1,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,1,2023,NULL,NULL,NULL,NULL,17,8,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,19,9,1,2,3,4,1,1,7,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,14,6,NULL,1,3,3,NULL,1,NULL,NULL,NULL,NULL,12,11,1,3,9,6,1,2,NULL,NULL,NULL,NULL,13,6,NULL,NULL,4,2,NULL,NULL,2,1,1,NULL,6,3,6,1,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,2,2023,NULL,NULL,NULL,NULL,20,8,1,2,3,NULL,NULL,1,NULL,NULL,NULL,NULL,20,8,3,2,3,NULL,1,1,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,5,1,2,5,NULL,NULL,2,NULL,NULL,NULL,NULL,15,10,3,4,10,6,3,3,NULL,NULL,NULL,NULL,16,5,1,1,7,2,NULL,1,2,3,NULL,NULL,7,3,2,7,NULL,2,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,3,2023,NULL,NULL,NULL,NULL,21,8,1,3,3,1,NULL,1,NULL,NULL,NULL,NULL,21,10,3,2,6,3,NULL,2,4,NULL,1,1,2,NULL,NULL,NULL,NULL,18,6,1,2,7,2,NULL,2,NULL,NULL,NULL,NULL,18,9,3,5,12,4,2,5,NULL,NULL,NULL,NULL,19,6,1,1,7,3,NULL,1,4,4,NULL,2,10,3,5,8,NULL,4,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,4,2023,NULL,NULL,NULL,NULL,21,9,1,3,5,2,NULL,1,NULL,NULL,NULL,NULL,22,11,3,3,6,4,1,2,4,1,NULL,1,2,NULL,NULL,NULL,NULL,17,7,1,2,5,3,NULL,2,NULL,NULL,NULL,NULL,17,10,3,6,11,6,3,6,NULL,NULL,NULL,NULL,18,6,1,1,6,3,NULL,1,3,3,NULL,NULL,11,3,1,1,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,5,2023,NULL,NULL,NULL,NULL,22,11,NULL,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,11,2,2,6,7,1,1,4,1,NULL,NULL,1,NULL,NULL,NULL,NULL,19,7,NULL,2,5,6,NULL,1,NULL,NULL,NULL,NULL,19,11,2,6,14,8,2,6,NULL,NULL,NULL,NULL,20,6,NULL,2,6,4,NULL,1,2,4,NULL,NULL,8,3,2,NULL,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,6,2023,NULL,NULL,NULL,NULL,21,11,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,10,1,2,6,5,1,1,7,1,NULL,NULL,2,NULL,NULL,NULL,NULL,19,7,NULL,1,6,5,NULL,1,NULL,NULL,NULL,NULL,18,10,1,4,14,7,1,4,NULL,NULL,NULL,NULL,19,6,NULL,1,9,4,NULL,1,3,1,NULL,2,7,2,NULL,NULL,2,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,7,2023,NULL,NULL,NULL,NULL,21,9,NULL,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,7,1,2,5,3,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,18,7,NULL,3,4,3,NULL,2,NULL,NULL,NULL,NULL,16,11,1,5,13,8,1,5,NULL,NULL,NULL,NULL,19,7,NULL,2,9,4,NULL,2,3,3,NULL,1,7,2,NULL,NULL,NULL,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000063,U-01 COL.JARDIN PALMAS III,8,2023,1,NULL,NULL,NULL,21,8,NULL,3,2,NULL,NULL,1,1,NULL,NULL,NULL,22,9,NULL,2,5,5,NULL,1,6,1,NULL,1,NULL,1,NULL,NULL,NULL,17,8,NULL,3,3,3,NULL,3,1,NULL,NULL,NULL,15,12,NULL,5,12,8,NULL,5,NULL,NULL,NULL,NULL,17,7,NULL,2,7,4,NULL,2,4,4,NULL,1,9,4,NULL,NULL,NULL,2,NULL,NULL
